Match Numer,Team 1,Team 2,Winner,Margin,Ground,Match Date,Result,Winning Trends,Win by Wckets,Win by Runs,Key Matches Overview,Toss Winner,Toss Decision,Series,Season,Player Of The Match,Match days,Day & Night,Umpires,TV Umpire,Reserve Umpire,Match Referee,Points 1,Points 2,Player Of The Series
165,Islamabad United,Lahore Qalandars,Lahore Qalandars,5 wickets,Abu Dhabi,9-Jun-21,Normal,Bowl First,5,,Match 15,Lahore Qalandars, elected to field first,Pakistan Super League,2021,Qalandars Rashid Khan,9-Jun-21, night ,Pakistan Aleem Dar Pakistan Rashid Riaz,Pakistan Shozab Raza,Pakistan Faisal Afridi,Pakistan Mohammed Anees,Lahore Qalandars 2, Islamabad United 0,
166,Karachi Kings,Multan Sultans,Multan Sultans,12 runs,Abu Dhabi,10-Jun-21,Normal,Bat First,,12,Match 16,Karachi Kings, elected to field first,Pakistan Super League,2021,Sultans Rilee Rossouw,10-Jun-21, daynight ,Pakistan Aleem Dar Pakistan Shozab Raza,Pakistan Rashid Riaz,Pakistan Faisal Afridi,Pakistan Ali Naqvi,Multan Sultans 2, Karachi Kings 0,
167,Lahore Qalandars,Peshawar Zalmi,Lahore Qalandars,10 runs,Abu Dhabi,10-Jun-21,Normal,Bat First,,10,Match 17,Peshawar Zalmi, elected to field first,Pakistan Super League,2021,Qalandars Rashid Khan,10-Jun-21, night ,Pakistan Asif Yaqoob Pakistan Rashid Riaz,Pakistan Ahsan Raza,Pakistan Faisal Afridi,Pakistan Ali Naqvi,Lahore Qalandars 2, Peshawar Zalmi 0,
168,Islamabad United,Quetta Gladiators,Islamabad United,10 wickets,Abu Dhabi,11-Jun-21,Normal,Bowl First,10,,Match 18,Islamabad United, elected to field first,Pakistan Super League,2021,United Colin Munro,11-Jun-21, night ,Pakistan Aleem Dar Pakistan Shozab Raza,Pakistan Rashid Riaz,Pakistan Zameer Haider,Pakistan Muhammad Javed,Islamabad United 2, Quetta Gladiators 0,
169,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,61 runs,Abu Dhabi,12-Jun-21,Normal,Bat First,,61,Match 19,Quetta Gladiators, elected to field first,Pakistan Super League,2021,Zalmi David Miller,12-Jun-21, night ,Pakistan Ahsan Raza Pakistan Shozab Raza,Pakistan Aleem Dar,Pakistan Faisal Afridi,Pakistan Mohammed Anees,Peshawar Zalmi 2, Quetta Gladiators 0,
170,Islamabad United,Lahore Qalandars,Islamabad United,28 runs,Abu Dhabi,13-Jun-21,Normal,Bat First,,28,Match 20,Islamabad United, elected to bat first,Pakistan Super League,2021,United Asif Ali,13-Jun-21, daynight ,Pakistan Asif Yaqoob Pakistan Shozab Raza,Pakistan Ahsan Raza,Pakistan Zameer Haider,,Islamabad United 2, Lahore Qalandars 0,
171,Multan Sultans,Peshawar Zalmi,Multan Sultans,8 wickets,Abu Dhabi,13-Jun-21,Normal,Bowl First,8,,Match 21,Multan Sultans, elected to field first,Pakistan Super League,2021,Sultans Shahnawaz Dahani,13-Jun-21, night ,Pakistan Ahsan Raza Pakistan Aleem Dar,Pakistan Asif Yaqoob,Pakistan Zameer Haider,,Multan Sultans 2, Peshawar Zalmi 0,
172,Islamabad United,Karachi Kings,Islamabad United,8 wickets,Abu Dhabi,14-Jun-21,Normal,Bowl First,8,,Match 22,Islamabad United, elected to field first,Pakistan Super League,2021,United Iftikhar Ahmed,14-Jun-21, night ,Pakistan Asif Yaqoob Pakistan Rashid Riaz,Pakistan Shozab Raza,Pakistan Faisal Afridi,Pakistan Ali Naqvi,Islamabad United 2, Karachi Kings 0,
173,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,18 runs,Abu Dhabi,15-Jun-21,Normal,Bat First,,18,Match 23,Lahore Qalandars, elected to field first,Pakistan Super League,2021,Gladiators Usman Shinwari,15-Jun-21, daynight ,Pakistan Aleem Dar Pakistan Rashid Riaz,Pakistan Shozab Raza,Pakistan Faisal Afridi,Pakistan Mohammed Anees,Quetta Gladiators 2, Lahore Qalandars 0,
174,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,6 wickets,Abu Dhabi,15-Jun-21,Normal,Bowl First,6,,Match 24,Peshawar Zalmi, elected to field first,Pakistan Super League,2021,Zalmi Hazratullah Zazai,15-Jun-21, night ,Pakistan Ahsan Raza Pakistan Shozab Raza,Pakistan Rashid Riaz,Pakistan Faisal Afridi,Pakistan Mohammed Anees,Peshawar Zalmi 2, Karachi Kings 0,
175,Multan Sultans,Quetta Gladiators,Multan Sultans,110 runs,Abu Dhabi,16-Jun-21,Normal,Bat First,,110,Match 25,Quetta Gladiators, elected to field first,Pakistan Super League,2021,Sultans Shan Masood,16-Jun-21, night ,Pakistan Aleem Dar Pakistan Shozab Raza,Pakistan Asif Yaqoob,Pakistan Faisal Afridi,,Multan Sultans 2, Quetta Gladiators 0,
176,Islamabad United,Peshawar Zalmi,Islamabad United,15 runs,Abu Dhabi,17-Jun-21,Normal,Bat First,,15,Match 26,Peshawar Zalmi, elected to field first,Pakistan Super League,2021,United Usman Khawaja,17-Jun-21, daynight ,Pakistan Rashid Riaz Pakistan Shozab Raza,Pakistan Ahsan Raza,Pakistan Zameer Haider,Pakistan Mohammed Anees,Islamabad United 2, Peshawar Zalmi 0,
177,Karachi Kings,Lahore Qalandars,Karachi Kings,7 runs,Abu Dhabi,17-Jun-21,Normal,Bat First,,7,Match 27,Karachi Kings, elected to bat first,Pakistan Super League,2021,Kings Noor Ahmad,17-Jun-21, daynight ,Pakistan Ahsan Raza Pakistan Asif Yaqoob,Pakistan Aleem Dar,Pakistan Zameer Haider,Pakistan Mohammed Anees,Karachi Kings 2, Lahore Qalandars 0,
178,Lahore Qalandars,Multan Sultans,Multan Sultans,80 runs,Abu Dhabi,18-Jun-21,Normal,Bat First,,80,Match 28,Lahore Qalandars, elected to field first,Pakistan Super League,2021,Sultans Shahnawaz Dahani,18-Jun-21, night ,Pakistan Aleem Dar Pakistan Shozab Raza,Pakistan Asif Yaqoob,Pakistan Faisal Afridi,Pakistan Muhammad Javed,Multan Sultans 2, Lahore Qalandars 0,
179,Karachi Kings,Quetta Gladiators,Karachi Kings,14 runs,Abu Dhabi,19-Jun-21,Normal,Bat First,,14,Match 29,Karachi Kings, elected to bat first,Pakistan Super League,2021,Kings Danish Aziz,19-Jun-21, daynight ,Pakistan Asif Yaqoob Pakistan Shozab Raza,Pakistan Ahsan Raza,Pakistan Zameer Haider,Pakistan Muhammad Javed,Karachi Kings 2, Quetta Gladiators 0,
180,Islamabad United,Multan Sultans,Islamabad United,4 wickets,Abu Dhabi,19-Jun-21,Normal,Bowl First,4,,Match 30,Islamabad United, elected to field first,Pakistan Super League,2021,United Mohammad Wasim,19-Jun-21, night ,Pakistan Aleem Dar Pakistan Rashid Riaz,Pakistan Asif Yaqoob,Pakistan Zameer Haider,Pakistan Muhammad Javed,Islamabad United 2, Multan Sultans 0,
181,Islamabad United,Multan Sultans,Multan Sultans,31 runs,Abu Dhabi,21-Jun-21,Normal,Bat First,,31,1st Qualifying Final,Multan Sultans, elected to bat first,Pakistan Super League,2021,Sultans Sohail Tanvir,21-Jun-21, daynight ,Pakistan Ahsan Raza Pakistan Rashid Riaz,Pakistan Aleem Dar,Pakistan Asif Yaqoob,Pakistan Muhammad Javed,,,
182,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,5 wickets,Abu Dhabi,21-Jun-21,Normal,Bowl First,5,,2nd Qualifying Final,Peshawar Zalmi, elected to field first,Pakistan Super League,2021,Zalmi Hazratullah Zazai,21-Jun-21, night ,Pakistan Aleem Dar Pakistan Shozab Raza,Pakistan Asif Yaqoob,Pakistan Ahsan Raza,Pakistan Muhammad Javed,,,
183,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,8 wickets,Abu Dhabi,22-Jun-21,Normal,Bowl First,8,,3rd Qualifying Final,Peshawar Zalmi, elected to field first,Pakistan Super League,2021,Zalmi Hazratullah Zazai,22-Jun-21, daynight ,Pakistan Aleem Dar Pakistan Asif Yaqoob,Pakistan Rashid Riaz,Pakistan Shozab Raza,Pakistan Mohammed Anees,,,
184,Multan Sultans,Peshawar Zalmi,Multan Sultans,47 runs,Abu Dhabi,24-Jun-21,Normal,Bat First,,47,Final,Peshawar Zalmi, elected to field first,Pakistan Super League,2021,Sultans Sohaib Maqsood,24-Jun-21, daynight ,Pakistan Ahsan Raza Pakistan Aleem Dar,Pakistan Asif Yaqoob,Pakistan Rashid Riaz,Pakistan Mohammed Anees,,,Sultans Sohaib Maqsood
185,Karachi Kings,Multan Sultans,Multan Sultans,7 wickets,Karachi,27-Jan-22,Normal,Bowl First,7,,Match 1,Multan Sultans, elected to field first,Pakistan Super League,2022,Sultans Imran Tahir,27-Jan-22, night ,Ihsanullah Ihsanullah,Pakistan Aleem Dar England Richard Illingworth,Pakistan Imran Javed,Pakistan Muhammad Javed,Multan Sultans 2, Karachi Kings 0,
186,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,5 wickets,Karachi,28-Jan-22,Normal,Bowl First,5,,Match 2,Peshawar Zalmi, elected to field first,Pakistan Super League,2022,Gladiators Will Smeed,28-Jan-22, night ,Pakistan Ahsan Raza England Michael Gough,Pakistan Shozab Raza,Pakistan Imtiaz Iqbal,Pakistan Muhammad Javed,Peshawar Zalmi 2, Quetta Gladiators 0,
187,Multan Sultans,Lahore Qalandars,Multan Sultans,5 wickets,Karachi,29-Jan-22,Normal,Bowl First,5,,Match 3,Multan Sultans, elected to field first,Pakistan Super League,2022,Sultans Shan Masood,29-Jan-22, daynight ,Pakistan Ahsan Raza England Richard Illingworth,Pakistan Faisal Afridi,Pakistan Imtiaz Iqbal,Pakistan Muhammad Javed,Multan Sultans 2, Lahore Qalandars 0,
188,Karachi Kings,Quetta Gladiators,Quetta Gladiators,8 wickets,Karachi,29-Jan-22,Normal,Bowl First,8,,Match 4,Quetta Gladiators, elected to field first,Pakistan Super League,2022,Gladiators Naseem Shah,29-Jan-22, night ,England Michael Gough Pakistan Shozab Raza,Pakistan Aleem Dar,Pakistan Imran Javed,Sri Lanka Ranjan Madugalle,Quetta Gladiators 2, Karachi Kings 0,
189,Peshawar Zalmi,Islamabad United,Islamabad United,9 wickets,Karachi,30-Jan-22,Normal,Bowl First,9,,Match 5,Islamabad United, elected to field first,Pakistan Super League,2022,United Paul Stirling,30-Jan-22, daynight ,Pakistan Ahsan Raza Pakistan Aleem Dar,Pakistan Shozab Raza,Pakistan Imtiaz Iqbal,Pakistan Muhammad Javed,Islamabad United 2, Peshawar Zalmi 0,
190,Karachi Kings,Lahore Qalandars,Lahore Qalandars,6 wickets,Karachi,30-Jan-22,Normal,Bowl First,6,,Match 6,Lahore Qalandars, elected to field first,Pakistan Super League,2022,Qalandars Fakhar Zaman,30-Jan-22, night ,England Michael Gough England Richard Illingworth,Pakistan Ahsan Raza,Pakistan Imran Javed,Sri Lanka Ranjan Madugalle,Lahore Qalandars 2, Karachi Kings 0,
191,Quetta Gladiators,Multan Sultans,Multan Sultans,6 runs,Karachi,31-Jan-22,Normal,Bat First,,6,Match 7,Quetta Gladiators, elected to field first,Pakistan Super League,2022,Sultans Shan Masood,31-Jan-22, night ,Pakistan Ahsan Raza Pakistan Aleem Dar,Pakistan Shozab Raza,Pakistan Imtiaz Iqbal,Pakistan Muhammad Javed,Multan Sultans 2, Quetta Gladiators 0,
192,Islamabad United,Multan Sultans,Multan Sultans,20 runs,Karachi,1-Feb-22,Normal,Bat First,,20,Match 8,Islamabad United, elected to field first,Pakistan Super League,2022,Sultans Tim David,1-Feb-22, night ,England Michael Gough Pakistan Shozab Raza,Pakistan Ahsan Raza,Pakistan Imran Javed,Pakistan Iftikhar Ahmed,Multan Sultans 2, Islamabad United 0,
193,Peshawar Zalmi,Lahore Qalandars,Lahore Qalandars,29 runs,Karachi,2-Feb-22,Normal,Bat First,,29,Match 9,Peshawar Zalmi, elected to field first,Pakistan Super League,2022,Qalandars Zaman Khan,2-Feb-22, night ,Pakistan Aleem Dar Pakistan Shozab Raza,Pakistan Ahsan Raza,Pakistan Imtiaz Iqbal,Pakistan Ali Naqvi,Lahore Qalandars 2, Peshawar Zalmi 0,
194,Quetta Gladiators,Islamabad United,Islamabad United,43 runs,Karachi,3-Feb-22,Normal,Bat First,,43,Match 10,Quetta Gladiators, elected to field first,Pakistan Super League,2022,United Colin Munro,3-Feb-22, night ,Pakistan Imtiaz Iqbal England Richard Illingworth,Pakistan Shozab Raza,Pakistan Imran Javed,Sri Lanka Ranjan Madugalle,Islamabad United 2, Quetta Gladiators 0,
195,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,9 runs,Karachi,4-Feb-22,Normal,Bat First,,9,Match 11,Karachi Kings, elected to field first,Pakistan Super League,2022,Zalmi Shoaib Malik,4-Feb-22, night ,Pakistan Aleem Dar Pakistan Shozab Raza,Pakistan Ahsan Raza,Pakistan Imtiaz Iqbal,Pakistan Iftikhar Ahmed,Peshawar Zalmi 2, Karachi Kings 0,
196,Islamabad United,Lahore Qalandars,Lahore Qalandars,8 runs,Karachi,5-Feb-22,Normal,Bat First,,8,Match 12,Islamabad United, elected to field first,Pakistan Super League,2022,Qalandars Zaman Khan,5-Feb-22, daynight ,England Michael Gough Pakistan Waleed Yaqub,Pakistan Ahsan Raza,Pakistan Imtiaz Iqbal,Pakistan Iftikhar Ahmed,Lahore Qalandars 2, Islamabad United 0,
197,Peshawar Zalmi,Multan Sultans,Multan Sultans,57 runs,Karachi,5-Feb-22,Normal,Bat First,,57,Match 13,Peshawar Zalmi, elected to field first,Pakistan Super League,2022,Sultans Mohammad Rizwan,5-Feb-22, night ,England Richard Illingworth Pakistan Shozab Raza,Pakistan Aleem Dar,Pakistan Imran Javed,Pakistan Ali Naqvi,Multan Sultans 2, Peshawar Zalmi 0,
198,Karachi Kings,Islamabad United,Islamabad United,42 runs,Karachi,6-Feb-22,Normal,Bat First,,42,Match 14,Islamabad United, elected to bat first,Pakistan Super League,2022,United Shadab Khan,6-Feb-22, night ,Pakistan Ahsan Raza England Richard Illingworth,Pakistan Aleem Dar,Pakistan Imtiaz Iqbal,Sri Lanka Ranjan Madugalle,Islamabad United 2, Karachi Kings 0,
199,Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,7 wickets,Karachi,7-Feb-22,Normal,Bowl First,7,,Match 15,Quetta Gladiators, elected to field first,Pakistan Super League,2022,Gladiators Jason Roy,7-Feb-22, night ,England Michael Gough Pakistan Shozab Raza,Pakistan Aleem Dar,Pakistan Imran Javed,Pakistan Iftikhar Ahmed,Quetta Gladiators 2, Lahore Qalandars 0,
200,Multan Sultans,Peshawar Zalmi,Multan Sultans,42 runs,Lahore,10-Feb-22,Normal,Bat First,,42,Match 16,Peshawar Zalmi, elected to field first,Pakistan Super League,2022,Sultans Shan Masood,10-Feb-22, night ,Pakistan Ahsan Raza England Richard Illingworth,Pakistan Shozab Raza,Pakistan Waleed Yaqub,Pakistan Ali Naqvi,Multan Sultans 2, Peshawar Zalmi 0,
201,Lahore Qalandars,Multan Sultans,Lahore Qalandars,52 runs,Lahore,11-Feb-22,Normal,Bat First,,52,Match 17,Multan Sultans, elected to field first,Pakistan Super League,2022,Qalandars Fakhar Zaman,11-Feb-22, night ,Pakistan Aleem Dar England Michael Gough,Pakistan Faisal Afridi,Pakistan Nasir Hussain,Sri Lanka Roshan Mahanama,Lahore Qalandars 2, Multan Sultans 0,
202,Islamabad United,Quetta Gladiators,Quetta Gladiators,5 wickets,Lahore,12-Feb-22,Normal,Bowl First,5,,Match 18,Quetta Gladiators, elected to field first,Pakistan Super League,2022,Gladiators Sarfaraz Ahmed,12-Feb-22, night ,Pakistan Faisal Afridi England Richard Illingworth,Pakistan Aleem Dar,Pakistan Waleed Yaqub,Sri Lanka Ranjan Madugalle,Quetta Gladiators 2, Islamabad United 0,
203,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,55 runs,Lahore,13-Feb-22,Normal,Bat First,,55,Match 19,Karachi Kings, elected to field first,Pakistan Super League,2022,Zalmi Mohammad Haris,13-Feb-22, daynight ,Pakistan Faisal Afridi Pakistan Rashid Riaz,Pakistan Asif Yaqoob,Pakistan Nasir Hussain,Pakistan Ali Naqvi,Peshawar Zalmi 2, Karachi Kings 0,
204,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,8 wickets,Lahore,13-Feb-22,Normal,Bowl First,8,,Match 20,Lahore Qalandars, elected to field first,Pakistan Super League,2022,Qalandars Shaheen Shah Afridi,13-Feb-22, night ,Pakistan Asif Yaqoob England Michael Gough,Pakistan Rashid Riaz,Pakistan Waleed Yaqub,Sri Lanka Roshan Mahanama,Lahore Qalandars 2, Quetta Gladiators 0,
205,Islamabad United,Karachi Kings,Islamabad United,1 run,Lahore,14-Feb-22,Normal,Bat First,,1,Match 21,Karachi Kings, elected to field first,Pakistan Super League,2022,United Asif Ali,14-Feb-22, night ,Pakistan Asif Yaqoob England Richard Illingworth,Pakistan Rashid Riaz,Pakistan Nasir Hussain,Sri Lanka Ranjan Madugalle,Islamabad United 2, Karachi Kings 0,
206,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,24 runs,Lahore,15-Feb-22,Normal,Bat First,,24,Match 22,Peshawar Zalmi, elected to bat first,Pakistan Super League,2022,Zalmi Hussain Talat,15-Feb-22, night ,England Michael Gough Pakistan Rashid Riaz,Pakistan Asif Yaqoob,Pakistan Waleed Yaqub,Pakistan Ali Naqvi,Peshawar Zalmi 2, Quetta Gladiators 0,
207,Multan Sultans,Karachi Kings,Multan Sultans,7 wickets,Lahore,16-Feb-22,Normal,Bowl First,7,,Match 23,Karachi Kings, elected to bat first,Pakistan Super League,2022,Sultans Mohammad Rizwan,16-Feb-22, night ,Pakistan Asif Yaqoob England Richard Illingworth,Pakistan Rashid Riaz,Pakistan Nasir Hussain,Sri Lanka Ranjan Madugalle,Multan Sultans 2, Karachi Kings 0,
208,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,10 runs,Lahore,17-Feb-22,Normal,Bat First,,10,Match 24,Peshawar Zalmi, elected to bat first,Pakistan Super League,2022,Zalmi Mohammad Haris,17-Feb-22, night ,Pakistan Ahsan Raza England Richard Illingworth,Pakistan Asif Yaqoob,Pakistan Waleed Yaqub,Sri Lanka Ranjan Madugalle,Peshawar Zalmi 2, Islamabad United 0,
209,Multan Sultans,Quetta Gladiators,Multan Sultans,117 runs,Lahore,18-Feb-22,Normal,Bat First,,117,Match 25,Multan Sultans, elected to bat first,Pakistan Super League,2022,Sultans Rilee Rossouw,18-Feb-22, daynight ,Pakistan Aleem Dar Pakistan Rashid Riaz,Pakistan Asif Yaqoob,Pakistan Nasir Hussain,Pakistan Ali Naqvi,Multan Sultans 2, Quetta Gladiators 0,
210,Lahore Qalandars,Karachi Kings,Karachi Kings,22 runs,Lahore,18-Feb-22,Normal,Bat First,,22,Match 26,Karachi Kings, elected to bat first,Pakistan Super League,2022,Kings Mir Hamza,18-Feb-22, night ,Pakistan Asif Yaqoob England Michael Gough,Pakistan Rashid Riaz,Pakistan Waleed Yaqub,Sri Lanka Ranjan Madugalle,Karachi Kings 2, Lahore Qalandars 0,
211,Lahore Qalandars,Islamabad United,Lahore Qalandars,66 runs,Lahore,19-Feb-22,Normal,Bat First,,66,Match 27,Lahore Qalandars, elected to bat first,Pakistan Super League,2022,Qalandars Harry Brook,19-Feb-22, night ,Pakistan Rashid Riaz England Richard Illingworth,Pakistan Asif Yaqoob,Pakistan Waleed Yaqub,Sri Lanka Roshan Mahanama,Lahore Qalandars 2, Islamabad United 0,
212,Quetta Gladiators,Karachi Kings,Quetta Gladiators,23 runs,Lahore,20-Feb-22,Normal,Bat First,,23,Match 28,Quetta Gladiators, elected to bat first,Pakistan Super League,2022,Gladiators Khurram Shahzad,20-Feb-22, daynight ,Pakistan Aleem Dar Pakistan Asif Yaqoob,Pakistan Rashid Riaz,Pakistan Nasir Hussain,Pakistan Ali Naqvi,Quetta Gladiators 2, Karachi Kings 0,
213,Multan Sultans,Islamabad United,Multan Sultans,6 wickets,Lahore,20-Feb-22,Normal,Bowl First,6,,Match 29,Islamabad United, elected to bat first,Pakistan Super League,2022,Sultans Imran Tahir,20-Feb-22, night ,England Michael Gough Pakistan Rashid Riaz,Pakistan Asif Yaqoob,Pakistan Waleed Yaqub,Sri Lanka Ranjan Madugalle,Multan Sultans 2, Islamabad United 0,
214,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,Super Over,Lahore,21-Feb-22,Tied,Super Over,,,Match 30,Peshawar Zalmi, elected to bat first,Pakistan Super League,2022,Zalmi Wahab Riaz,21-Feb-22, night ,Pakistan Asif Yaqoob England Richard Illingworth,Pakistan Rashid Riaz,Pakistan Nasir Hussain,Pakistan Ali Naqvi,Peshawar Zalmi 2, Lahore Qalandars 0,
215,Lahore Qalandars,Multan Sultans,Multan Sultans,28 runs,Lahore,23-Feb-22,Normal,Bat First,,28,1st Qualifying Final,Lahore Qalandars, elected to field first,Pakistan Super League,2022,Sultans Shahnawaz Dahani,23-Feb-22, night ,Pakistan Aleem Dar England Richard Illingworth,England Michael Gough,Pakistan Ahsan Raza,Sri Lanka Roshan Mahanama,,,
216,Islamabad United,Peshawar Zalmi,Islamabad United,5 wickets,Lahore,24-Feb-22,Normal,Bowl First,5,,2nd Qualifying Final,Peshawar Zalmi, elected to bat first,Pakistan Super League,2022,United Faheem Ashraf,24-Feb-22, night ,Pakistan Aleem Dar England Michael Gough,England Richard Illingworth,Pakistan Rashid Riaz,Sri Lanka Ranjan Madugalle,,,
217,Lahore Qalandars,Islamabad United,Lahore Qalandars,6 runs,Lahore,25-Feb-22,Normal,Bat First,,6,3rd Qualifying Final,Lahore Qalandars, elected to bat first,Pakistan Super League,2022,Qalandars David Wiese,25-Feb-22, night ,England Michael Gough England Richard Illingworth,Pakistan Aleem Dar,Pakistan Asif Yaqoob,Sri Lanka Roshan Mahanama,,,
218,Lahore Qalandars,Multan Sultans,Lahore Qalandars,42 runs,Lahore,27-Feb-22,Normal,Bat First,,42,Final,Lahore Qalandars, elected to bat first,Pakistan Super League,2022,Qalandars Mohammad Hafeez,27-Feb-22, night ,Pakistan Aleem Dar England Richard Illingworth,England Michael Gough,Pakistan Ahsan Raza,Sri Lanka Roshan Mahanama,,,Sultans Mohammad Rizwan
219,Multan Sultans,Lahore Qalandars,Lahore Qalandars,1 run,Multan,13-Feb-23,Normal,Bat First,,1,Match 1,Multan Sultans, elected to field first,Pakistan Super League,2023,Qalandars Fakhar Zaman,13-Feb-23, night ,Pakistan Asif Yaqoob DRS England Martin Saggers DRS,Pakistan Faisal Afridi,Pakistan Shozab Raza,Pakistan Mohammed Anees,Lahore Qalandars 2, Multan Sultans 0,
220,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,2 runs,Karachi,14-Feb-23,Normal,Bat First,,2,Match 2,Karachi Kings, elected to field first,Pakistan Super League,2023,Zalmi Tom Kohler-Cadmore,14-Feb-23, night ,Pakistan Ahsan Raza DRS England Alex Wharf DRS,Sri Lanka Ruchira Palliyaguruge,Pakistan Tariq Rasheed,Pakistan Ali Naqvi,Peshawar Zalmi 2, Karachi Kings 0,
221,Multan Sultans,Quetta Gladiators,Multan Sultans,9 wickets,Multan,15-Feb-23,Normal,Bowl First,9,,Match 3,Multan Sultans, elected to field first,Pakistan Super League,2023,Sultans Ihsanullah,15-Feb-23, night ,Pakistan Asif Yaqoob DRS Pakistan Faisal Afridi DRS,England Martin Saggers,Pakistan Shozab Raza,Pakistan Mohammed Anees,Multan Sultans 2, Quetta Gladiators 0,
222,Karachi Kings,Islamabad United,Islamabad United,4 wickets,Karachi,16-Feb-23,Normal,Bowl First,4,,Match 4,Islamabad United, elected to field first,Pakistan Super League,2023,United Colin Munro,16-Feb-23, night ,England Alex Wharf Sri Lanka Ruchira Palliyaguruge,Pakistan Ahsan Raza,Pakistan Tariq Rasheed,Pakistan Ali Naqvi,Islamabad United 2, Karachi Kings 0,
223,Multan Sultans,Peshawar Zalmi,Multan Sultans,56 runs,Multan,17-Feb-23,Normal,Bat First,,56,Match 5,Peshawar Zalmi, elected to field first,Pakistan Super League,2023,Sultans Rilee Rossouw,17-Feb-23, night ,Pakistan Asif Yaqoob DRS Pakistan Faisal Afridi DRS,England Martin Saggers,Pakistan Shozab Raza,Pakistan Mohammed Anees,Multan Sultans 2, Peshawar Zalmi 0,
224,Karachi Kings,Quetta Gladiators,Quetta Gladiators,6 runs,Karachi,18-Feb-23,Normal,Bat First,,6,Match 6,Karachi Kings, elected to field first,Pakistan Super League,2023,Gladiators Martin Guptill,18-Feb-23, night ,Pakistan Ahsan Raza DRS England Alex Wharf DRS,Sri Lanka Ruchira Palliyaguruge,Pakistan Tariq Rasheed,Sri Lanka Roshan Mahanama,Quetta Gladiators 2, Karachi Kings 0,
225,Multan Sultans,Islamabad United,Multan Sultans,52 runs,Multan,19-Feb-23,Normal,Bat First,,52,Match 7,Islamabad United, elected to field first,Pakistan Super League,2023,Sultans Abbas Afridi,19-Feb-23, day ,Pakistan Asif Yaqoob DRS Pakistan Faisal Afridi DRS,England Martin Saggers,Pakistan Shozab Raza,Pakistan Mohammed Anees,Multan Sultans 2, Islamabad United 0,
226,Karachi Kings,Lahore Qalandars,Karachi Kings,67 runs,Karachi,19-Feb-23,Normal,Bat First,,67,Match 8,Lahore Qalandars, elected to field first,Pakistan Super League,2023,Kings Imad Wasim,19-Feb-23, night ,Pakistan Ahsan Raza DRS England Alex Wharf DRS,Sri Lanka Ruchira Palliyaguruge,Pakistan Tariq Rasheed,Sri Lanka Roshan Mahanama,Karachi Kings 2, Lahore Qalandars 0,
227,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,4 wickets,Karachi,20-Feb-23,Normal,Bowl First,4,,Match 9,Peshawar Zalmi, elected to field first,Pakistan Super League,2023,Zalmi James Neesham,20-Feb-23, night ,England Alex Wharf DRS Sri Lanka Ruchira Palliyaguruge DRS,Pakistan Ahsan Raza,Pakistan Tariq Rasheed,Pakistan Ali Naqvi,Peshawar Zalmi 2, Quetta Gladiators 0,
228,Quetta Gladiators,Lahore Qalandars,Lahore Qalandars,63 runs,Karachi,21-Feb-23,Normal,Bat First,,63,Match 10,Quetta Gladiators, elected to field first,Pakistan Super League,2023,Qalandars Shaheen Shah Afridi,21-Feb-23, night ,England Alex Wharf DRS Sri Lanka Ruchira Palliyaguruge DRS,Pakistan Ahsan Raza,Pakistan Tariq Rasheed,Sri Lanka Roshan Mahanama,Lahore Qalandars 2, Quetta Gladiators 0,
229,Multan Sultans,Karachi Kings,Multan Sultans,3 runs,Multan,22-Feb-23,Normal,Bat First,,3,Match 11,Karachi Kings, elected to field first,Pakistan Super League,2023,Sultans Mohammad Rizwan,22-Feb-23, night ,England Martin Saggers DRS Pakistan Shozab Raza DRS,Pakistan Faisal Afridi,Pakistan Mohammad Asif,Pakistan Iftikhar Ahmed,Multan Sultans 2, Karachi Kings 0,
230,Peshawar Zalmi,Islamabad United,Islamabad United,6 wickets,Karachi,23-Feb-23,Normal,Bowl First,6,,Match 12,Islamabad United, elected to field first,Pakistan Super League,2023,United Hasan Ali,23-Feb-23, night ,England Michael Gough DRS England Richard Illingworth DRS,England Alex Wharf,Pakistan Tariq Rasheed,Pakistan Ali Naqvi,Islamabad United 2, Peshawar Zalmi 0,
231,Quetta Gladiators,Islamabad United,Islamabad United,63 runs,Karachi,24-Feb-23,Normal,Bat First,,63,Match 13,Islamabad United, elected to bat first,Pakistan Super League,2023,United Azam Khan,24-Feb-23, night ,England Michael Gough DRS Pakistan Rashid Riaz DRS,England Richard Illingworth,Pakistan Tariq Rasheed,Sri Lanka Roshan Mahanama,Islamabad United 2, Quetta Gladiators 0,
