Match Numer,Team 1,Team 2,Winner,Margin,Ground,Match Date,Result,Winning Trends,Win by Wckets,Win by Runs,Key Matches Overview,Toss Winner,Toss Decision,Series,Season,Player Of The Match,Match days,Day & Night,Umpires,TV Umpire,Reserve Umpire,Match Referee,Points 1,Points 2,Player Of The Series
60,Lahore Qalandars,Islamabad United,Islamabad United,Super Over,Sharjah,2-Mar-18,Tied,Super Over,,,Match 12,Lahore Qalandars, elected to field first,Pakistan Super League,2018,United Mohammad Sami,2-Mar-18, night ,Pakistan Khalid Mahmood Sri Lanka Ranmore Martinesz,Pakistan Ahmed Shahab,Pakistan Rashid Riaz,Pakistan Mohammed Anees,Islamabad United 2, Lahore Qalandars 0,
61,Multan Sultans,Quetta Gladiators,Multan Sultans,9 wickets,Sharjah,3-Mar-18,Normal,Bowl First,9,,Match 13,Multan Sultans, elected to field first,Pakistan Super League,2018,Sultans Sohail Tanvir,3-Mar-18, daynight ,Pakistan Ahmed Shahab Pakistan Aleem Dar,Pakistan Shozab Raza,Pakistan Asif Yaqoob,Sri Lanka Roshan Mahanama,Multan Sultans 2, Quetta Gladiators 0,
62,Peshawar Zalmi,Lahore Qalandars,Peshawar Zalmi,10 wickets,Sharjah,3-Mar-18,Normal,Bowl First,10,,Match 14,Lahore Qalandars, elected to bat first,Pakistan Super League,2018,Zalmi Liam Dawson,3-Mar-18, night ,Sri Lanka Ranmore Martinesz England Tim Robinson,Pakistan Khalid Mahmood,Pakistan Asif Yaqoob,Pakistan Mohammed Anees,Peshawar Zalmi 2, Lahore Qalandars 0,
63,Islamabad United,Karachi Kings,Islamabad United,8 wickets,Sharjah,4-Mar-18,Normal,Bowl First,8,,Match 15,Islamabad United, elected to field first,Pakistan Super League,2018,United Luke Ronchi,4-Mar-18, night ,Pakistan Aleem Dar England Tim Robinson,Pakistan Ahmed Shahab,Pakistan Rashid Riaz,Sri Lanka Roshan Mahanama,Islamabad United 2, Karachi Kings 0,
64,Peshawar Zalmi,Multan Sultans,Multan Sultans,19 runs,Dubai (DICS),6-Mar-18,Normal,Bat First,,19,Match 16,Peshawar Zalmi, elected to field first,Pakistan Super League,2018,Sultans Sohaib Maqsood,6-Mar-18, night ,Pakistan Aleem Dar Pakistan Asif Yaqoob,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Multan Sultans 2, Peshawar Zalmi 0,
65,Multan Sultans,Quetta Gladiators,Quetta Gladiators,2 wickets,Dubai (DICS),7-Mar-18,Normal,Bowl First,2,,Match 17,Quetta Gladiators, elected to field first,Pakistan Super League,2018,Sultans Umar Gul,7-Mar-18, night ,Pakistan Aleem Dar England Tim Robinson,Pakistan Ahmed Shahab,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Quetta Gladiators 2, Multan Sultans 0,
66,Islamabad United,Lahore Qalandars,Islamabad United,6 wickets,Dubai (DICS),8-Mar-18,Normal,Bowl First,6,,Match 18,Islamabad United, elected to field first,Pakistan Super League,2018,United Luke Ronchi,8-Mar-18, daynight ,Pakistan Aleem Dar England Tim Robinson,Pakistan Rashid Riaz,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Islamabad United 2, Lahore Qalandars 0,
67,Karachi Kings,Quetta Gladiators,Quetta Gladiators,67 runs,Dubai (DICS),8-Mar-18,Normal,Bat First,,67,Match 19,Karachi Kings, elected to field first,Pakistan Super League,2018,Gladiators Shane Watson,8-Mar-18, night ,Pakistan Asif Yaqoob Pakistan Shozab Raza,Pakistan Ahmed Shahab,Pakistan Khalid Mahmood,Sri Lanka Roshan Mahanama,Quetta Gladiators 2, Karachi Kings 0,
68,Multan Sultans,Lahore Qalandars,Lahore Qalandars,6 wickets,Dubai (DICS),9-Mar-18,Normal,Bowl First,6,,Match 20,Multan Sultans, elected to bat first,Pakistan Super League,2018,Qalandars Shaheen Shah Afridi,9-Mar-18, daynight ,Pakistan Asif Yaqoob England Tim Robinson,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Lahore Qalandars 2, Multan Sultans 0,
69,Peshawar Zalmi,Islamabad United,Islamabad United,26 runs,Dubai (DICS),9-Mar-18,Normal,Bat First,,26,Match 21,Peshawar Zalmi, elected to field first,Pakistan Super League,2018,United Jean-Paul Duminy,9-Mar-18, night ,Pakistan Ahmed Shahab Pakistan Aleem Dar,Pakistan Rashid Riaz,Pakistan Khalid Mahmood,Sri Lanka Roshan Mahanama,Islamabad United 2, Peshawar Zalmi 0,
70,Multan Sultans,Karachi Kings,Karachi Kings,63 runs,Dubai (DICS),10-Mar-18,Normal,Bat First,,63,Match 22,Multan Sultans, elected to field first,Pakistan Super League,2018,Kings Shahid Afridi,10-Mar-18, daynight ,Pakistan Aleem Dar Pakistan Asif Yaqoob,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Karachi Kings 2, Multan Sultans 0,
71,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,6 wickets,Dubai (DICS),10-Mar-18,Normal,Bowl First,6,,Match 23,Quetta Gladiators, elected to field first,Pakistan Super League,2018,Gladiators Sarfaraz Ahmed,10-Mar-18, night ,Pakistan Ahmed Shahab England Tim Robinson,Pakistan Rashid Riaz,Pakistan Khalid Mahmood,Sri Lanka Roshan Mahanama,Quetta Gladiators 2, Peshawar Zalmi 0,
72,Karachi Kings,Lahore Qalandars,Lahore Qalandars,Super Over,Dubai (DICS),11-Mar-18,Tied,Super Over,,,Match 24,Lahore Qalandars, elected to field first,Pakistan Super League,2018,Qalandars Salman Agha,11-Mar-18, night ,Pakistan Aleem Dar England Tim Robinson,,Pakistan Asif Yaqoob,Sri Lanka Roshan Mahanama,Karachi Kings 0, Lahore Qalandars 2,
73,Multan Sultans,Islamabad United,Islamabad United,33 runs,Sharjah,13-Mar-18,Normal,Bat First,,33,Match 25,Multan Sultans, elected to field first,Pakistan Super League,2018,United Luke Ronchi,13-Mar-18, night ,Pakistan Aleem Dar Pakistan Rashid Riaz,Pakistan Ahmed Shahab,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Islamabad United 2, Multan Sultans 0,
74,Quetta Gladiators,Lahore Qalandars,Lahore Qalandars,17 runs,Sharjah,14-Mar-18,Normal,Bat First,,17,Match 26,Quetta Gladiators, elected to field first,Pakistan Super League,2018,Qalandars Fakhar Zaman,14-Mar-18, night ,Pakistan Rashid Riaz England Tim Robinson,Pakistan Shozab Raza,Pakistan Asif Yaqoob,Sri Lanka Roshan Mahanama,Lahore Qalandars 2, Quetta Gladiators 0,
75,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,44 runs,Sharjah,15-Mar-18,Normal,Bat First,,44,Match 27,Peshawar Zalmi, elected to bat first,Pakistan Super League,2018,Zalmi Kamran Akmal,15-Mar-18, daynight ,Pakistan Ahmed Shahab Pakistan Shozab Raza,Pakistan Asif Yaqoob,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Peshawar Zalmi 2, Karachi Kings 0,
76,Quetta Gladiators,Islamabad United,Islamabad United,6 wickets,Sharjah,15-Mar-18,Normal,Bowl First,6,,Match 28,Quetta Gladiators, elected to bat first,Pakistan Super League,2018,United Jean-Paul Duminy,15-Mar-18, night ,Pakistan Aleem Dar Pakistan Khalid Mahmood,Pakistan Rashid Riaz,Pakistan Asif Yaqoob,Sri Lanka Roshan Mahanama,Islamabad United 2, Quetta Gladiators 0,
77,Peshawar Zalmi,Lahore Qalandars,Peshawar Zalmi,7 wickets,Sharjah,16-Mar-18,Normal,Bowl First,7,,Match 29,Lahore Qalandars, elected to bat first,Pakistan Super League,2018,Zalmi Kamran Akmal,16-Mar-18, daynight ,Pakistan Rashid Riaz Pakistan Shozab Raza,Pakistan Asif Yaqoob,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Peshawar Zalmi 2, Lahore Qalandars 0,
78,Islamabad United,Karachi Kings,Karachi Kings,7 wickets,Sharjah,16-Mar-18,Normal,Bowl First,7,,Match 30,Karachi Kings, elected to field first,Pakistan Super League,2018,Kings Usman Shinwari,16-Mar-18, night ,Pakistan Aleem Dar Pakistan Khalid Mahmood,Pakistan Ahmed Shahab,Pakistan Rashid Riaz,Sri Lanka Roshan Mahanama,Karachi Kings 2, Islamabad United 0,
79,Islamabad United,Karachi Kings,Islamabad United,8 wickets,Dubai (DICS),18-Mar-18,Normal,Bowl First,8,,1st Qualifying Final,Karachi Kings, elected to bat first,Pakistan Super League,2018,United Luke Ronchi,18-Mar-18, night ,Pakistan Aleem Dar Pakistan Rashid Riaz,Pakistan Shozab Raza,,,,,
80,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,1 run,Lahore,20-Mar-18,Normal,Bat First,,1,2nd Qualifying Final,Quetta Gladiators, elected to field first,Pakistan Super League,2018,Zalmi Hasan Ali,20-Mar-18, night ,Pakistan Aleem Dar Pakistan Rashid Riaz,Pakistan Ahmed Shahab,Pakistan Asif Yaqoob,Pakistan Mohammed Anees,,,
81,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,13 runs,Lahore,21-Mar-18,Normal,Bat First,,13,3rd Qualifying Final,Karachi Kings, elected to field first,Pakistan Super League,2018,Zalmi Kamran Akmal,21-Mar-18, night ,Pakistan Aleem Dar Pakistan Shozab Raza,Pakistan Asif Yaqoob,Pakistan Ahmed Shahab,Pakistan Mohammed Anees,,,
82,Islamabad United,Peshawar Zalmi,Islamabad United,3 wickets,Karachi,25-Mar-18,Normal,Bowl First,3,,Final,Peshawar Zalmi, elected to bat first,Pakistan Super League,2018,United Luke Ronchi,25-Mar-18, night ,Pakistan Aleem Dar Pakistan Shozab Raza,Pakistan Ahmed Shahab,Pakistan Rashid Riaz,Sri Lanka Roshan Mahanama,,,United Luke Ronchi
83,Islamabad United,Lahore Qalandars,Islamabad United,5 wickets,Dubai (DICS),14-Feb-19,Normal,Bowl First,5,,Match 1,Islamabad United, elected to field first,Pakistan Super League,2019,United Faheem Ashraf,14-Feb-19, night ,Pakistan Rashid Riaz England Richard Illingworth,Pakistan Shozab Raza,,Sri Lanka Roshan Mahanama,Islamabad United 2, Lahore Qalandars 0,
84,Karachi Kings,Multan Sultans,Karachi Kings,7 runs,Dubai (DICS),15-Feb-19,Normal,Bat First,,7,Match 2,Karachi Kings, elected to bat first,Pakistan Super League,2019,Kings Liam Livingstone,15-Feb-19, daynight ,England Michael Gough Sri Lanka Ranmore Martinesz,Pakistan Asif Yaqoob,,,Karachi Kings 2, Multan Sultans 0,
85,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,6 wickets,Dubai (DICS),15-Feb-19,Normal,Bowl First,6,,Match 3,Quetta Gladiators, elected to field first,Pakistan Super League,2019,Zalmi Umar Akmal,15-Feb-19, night ,England Richard Illingworth Pakistan Shozab Raza,Pakistan Rashid Riaz,,Sri Lanka Roshan Mahanama,Quetta Gladiators 2,  Peshawar Zalmi 0,
86,Islamabad United,Multan Sultans,Multan Sultans,5 wickets,Dubai (DICS),16-Feb-19,Normal,Bowl First,5,,Match 4,Multan Sultans, elected to field first,Pakistan Super League,2019,Sultans Ali Shafique,16-Feb-19, daynight ,Pakistan Asif Yaqoob Sri Lanka Ranmore Martinesz,England Michael Gough,,,Multan Sultans 2, Islamabad United 0,
87,Karachi Kings,Lahore Qalandars,Lahore Qalandars,22 runs,Dubai (DICS),16-Feb-19,Normal,Bat First,,22,Match 5,Karachi Kings, elected to field first,Pakistan Super League,2019,Qalandars Haris Rauf,16-Feb-19, night ,England Richard Illingworth Pakistan Shozab Raza,Pakistan Rashid Riaz,,Sri Lanka Roshan Mahanama,Lahore Qalandars 2, Karachi Kings 0,
88,Islamabad United,Quetta Gladiators,Quetta Gladiators,7 wickets,Dubai (DICS),17-Feb-19,Normal,Bowl First,7,,Match 6,Quetta Gladiators, elected to field first,Pakistan Super League,2019,Gladiators Shane Watson,17-Feb-19, daynight ,Pakistan Asif Yaqoob Sri Lanka Ranmore Martinesz,England Michael Gough,,Pakistan Mohammed Anees,Quetta Gladiators 2, Islamabad United 0,
89,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,7 wickets,Dubai (DICS),17-Feb-19,Normal,Bowl First,7,,Match 7,Peshawar Zalmi, elected to field first,Pakistan Super League,2019,Zalmi Hasan Ali,17-Feb-19, night ,Pakistan Rashid Riaz England Richard Illingworth,Pakistan Shozab Raza,,Sri Lanka Roshan Mahanama,Peshawar Zalmi 2, Lahore Qalandars 0,
90,Multan Sultans,Quetta Gladiators,Quetta Gladiators,8 wickets,Sharjah,20-Feb-19,Normal,Bowl First,8,,Match 8,Quetta Gladiators, elected to field first,Pakistan Super League,2019,Gladiators Shane Watson,20-Feb-19, night ,Pakistan Asif Yaqoob Pakistan Shozab Raza,Pakistan Rashid Riaz,,Pakistan Mohammed Anees,Quetta Gladiators 2, Multan Sultans 0,
91,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,44 runs,Sharjah,21-Feb-19,Normal,Bat First,,44,Match 9,Karachi Kings, elected to field first,Pakistan Super League,2019,Zalmi Imam-ul-Haq,21-Feb-19, night ,Pakistan Rashid Riaz England Richard Illingworth,Pakistan Asif Yaqoob,,Pakistan Mohammed Anees,Peshawar Zalmi 2, Karachi Kings 0,
92,Lahore Qalandars,Multan Sultans,Lahore Qalandars,6 wickets,Sharjah,22-Feb-19,Normal,Bowl First,6,,Match 10,Lahore Qalandars, elected to field first,Pakistan Super League,2019,Qalandars AB de Villiers,22-Feb-19, daynight ,Sri Lanka Ranmore Martinesz Pakistan Shozab Raza,Pakistan Rashid Riaz,,Sri Lanka Roshan Mahanama,Lahore Qalandars 2, Multan Sultans 0,
93,Islamabad United,Peshawar Zalmi,Islamabad United,12 runs,Sharjah,22-Feb-19,Normal,Bat First,,12,Match 11,Peshawar Zalmi, elected to field first,Pakistan Super League,2019,United Mohammad Sami,22-Feb-19, night ,England Michael Gough England Richard Illingworth,Pakistan Asif Yaqoob,,Pakistan Mohammed Anees,Islamabad United 2, Peshawar Zalmi 0,
94,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,3 wickets,Sharjah,23-Feb-19,Normal,Bowl First,3,,Match 12,Quetta Gladiators, elected to field first,Pakistan Super League,2019,Gladiators Sarfaraz Ahmed,23-Feb-19, daynight ,Sri Lanka Ranmore Martinesz Pakistan Shozab Raza,Pakistan Rashid Riaz,,Sri Lanka Roshan Mahanama,Quetta Gladiators 2, Lahore Qalandars 0,
95,Islamabad United,Karachi Kings,Islamabad United,7 wickets,Sharjah,23-Feb-19,Normal,Bowl First,7,,Match 13,Islamabad United, elected to field first,Pakistan Super League,2019,United Luke Ronchi,23-Feb-19, night ,Pakistan Asif Yaqoob England Richard Illingworth,England Michael Gough,,Pakistan Mohammed Anees,Islamabad United 2, Karachi Kings 0,
96,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,5 wickets,Sharjah,24-Feb-19,Normal,Bowl First,5,,Match 14,Peshawar Zalmi, elected to field first,Pakistan Super League,2019,Zalmi Hasan Ali,24-Feb-19, daynight ,Sri Lanka Ranmore Martinesz Pakistan Shozab Raza,Pakistan Rashid Riaz,,Sri Lanka Roshan Mahanama,Peshawar Zalmi 2, Multan Sultans 0,
